UnknownX,UnknownY,Tag
275560.006002234,1497702.89645779,3605
275560.152248161,1497702.03685287,3606
275560.601055159,1497702.09537421,3607
275562.155038699,1497703.266684,3608
275562.045729803,1497701.35167051,3609
275563.363724481,1497703.36487591,3610
275563.563580427,1497703.59806545,3611
275562.924332479,1497705.57373404,3612
275559.294388143,1497708.7686088,3613
275559.237832524,1497708.29412402,3614
275558.729882368,1497708.63445353,3615
NA,NA,3616
NA,NA,3617
NA,NA,3618
NA,NA,3619
NA,NA,3620
NA,NA,3621
NA,NA,3622
NA,NA,3623
275559.904843297,1497709.67995412,3624
275561.437009462,1497708.87061268,3625
275562.125336228,1497711.60472099,3626
275561.501986946,1497710.88422569,3627
275564.269741121,1497712.33328522,3628
275564.942218288,1497709.9719043,3629
275563.805945356,1497709.35909127,3630
275562.955200574,1497709.74929576,3631
275562.46160273,1497709.56586168,3632
275560.723013339,1497709.53439944,3633
275561.368017829,1497708.91910096,3634
275563.103122592,1497708.74114937,3635
275565.449641952,1497709.00450037,3636
275566.070255357,1497709.90016468,3637
275565.436087925,1497708.47805746,3638
275566.591377617,1497707.32887134,3639
NA,NA,3640
275567.293141261,1497707.1810439,3641
275566.180383423,1497705.74501688,3642
275565.798004842,1497705.70558229,3643
275564.166257933,1497706.77506395,3644
275564.366462679,1497705.51019507,3645
275563.806817682,1497705.45435947,3646
275564.895584106,1497703.93214605,3647
275567.700469668,1497704.54078672,3648
275567.768902988,1497704.51342898,3649
NA,NA,3650
